Id,SleepDay,TotalMinutesAsleep,TotalTimeInBed,,Month,Day,Year,,,
1503960366,2016/4/12,327,346,,4,12,2016,,Min,2016/4/12
1503960366,2016/4/13,384,407,,4,13,2016,,Max,2016/5/4
1503960366,2016/4/15,412,442,,4,15,2016,,,
1503960366,2016/4/16,340,367,,4,16,2016,,,
1503960366,2016/4/17,700,712,,4,17,2016,,,
1503960366,2016/4/19,304,320,,4,19,2016,,,
1503960366,2016/4/20,360,377,,4,20,2016,,,
1503960366,2016/4/21,325,364,,4,21,2016,,,
1503960366,2016/4/23,361,384,,4,23,2016,,,
1503960366,2016/4/24,430,449,,4,24,2016,,,
1503960366,2016/4/25,277,323,,4,25,2016,,,
1503960366,2016/4/26,245,274,,4,26,2016,,,
1503960366,2016/4/28,366,393,,4,28,2016,,,
1503960366,2016/4/29,341,354,,4,29,2016,,,
1503960366,2016/4/30,404,425,,4,30,2016,,,
1503960366,2016/5/1,369,396,,5,1,2016,,,
1503960366,2016/5/2,277,309,,5,2,2016,,,
1503960366,2016/5/3,273,296,,5,3,2016,,,
1503960366,2016/5/5,247,264,,5,5,2016,,,
1503960366,2016/5/6,334,367,,5,6,2016,,,
1503960366,2016/5/7,331,349,,5,7,2016,,,
1503960366,2016/5/8,594,611,,5,8,2016,,,
1503960366,2016/5/9,338,342,,5,9,2016,,,
1503960366,2016/5/10,383,403,,5,10,2016,,,
1503960366,2016/5/11,285,306,,5,11,2016,,,
1644430081,2016/4/29,119,127,,4,29,2016,,,
1644430081,2016/4/30,124,142,,4,30,2016,,,
1644430081,2016/5/2,796,961,,5,2,2016,,,
1644430081,2016/5/8,137,154,,5,8,2016,,,
1844505072,2016/4/15,644,961,,4,15,2016,,,
1844505072,2016/4/30,722,961,,4,30,2016,,,
1844505072,2016/5/1,590,961,,5,1,2016,,,
1927972279,2016/4/12,750,775,,4,12,2016,,,
1927972279,2016/4/13,398,422,,4,13,2016,,,
1927972279,2016/4/15,475,499,,4,15,2016,,,
1927972279,2016/4/26,296,315,,4,26,2016,,,
1927972279,2016/4/28,166,178,,4,28,2016,,,
2026352035,2016/4/12,503,546,,4,12,2016,,,
2026352035,2016/4/13,531,565,,4,13,2016,,,
2026352035,2016/4/14,545,568,,4,14,2016,,,
2026352035,2016/4/15,523,573,,4,15,2016,,,
2026352035,2016/4/16,524,567,,4,16,2016,,,
2026352035,2016/4/17,437,498,,4,17,2016,,,
2026352035,2016/4/19,498,540,,4,19,2016,,,
2026352035,2016/4/20,461,510,,4,20,2016,,,
2026352035,2016/4/21,477,514,,4,21,2016,,,
2026352035,2016/4/22,520,545,,4,22,2016,,,
2026352035,2016/4/23,522,554,,4,23,2016,,,
2026352035,2016/4/24,555,591,,4,24,2016,,,
2026352035,2016/4/25,506,531,,4,25,2016,,,
2026352035,2016/4/27,508,545,,4,27,2016,,,
2026352035,2016/4/28,513,545,,4,28,2016,,,
2026352035,2016/4/29,490,510,,4,29,2016,,,
2026352035,2016/4/30,573,607,,4,30,2016,,,
2026352035,2016/5/1,527,546,,5,1,2016,,,
2026352035,2016/5/2,511,543,,5,2,2016,,,
2026352035,2016/5/4,538,560,,5,4,2016,,,
2026352035,2016/5/5,468,485,,5,5,2016,,,
2026352035,2016/5/6,524,548,,5,6,2016,,,
2026352035,2016/5/7,511,521,,5,7,2016,,,
2026352035,2016/5/8,541,568,,5,8,2016,,,
2026352035,2016/5/9,531,556,,5,9,2016,,,
2026352035,2016/5/10,357,380,,5,10,2016,,,
2026352035,2016/5/11,523,553,,5,11,2016,,,
2026352035,2016/5/12,456,485,,5,12,2016,,,
2320127002,2016/4/23,61,69,,4,23,2016,,,
2347167796,2016/4/13,467,531,,4,13,2016,,,
2347167796,2016/4/14,445,489,,4,14,2016,,,
2347167796,2016/4/15,452,504,,4,15,2016,,,
2347167796,2016/4/17,556,602,,4,17,2016,,,
2347167796,2016/4/18,500,557,,4,18,2016,,,
2347167796,2016/4/19,465,514,,4,19,2016,,,
2347167796,2016/4/21,460,484,,4,21,2016,,,
2347167796,2016/4/22,405,461,,4,22,2016,,,
2347167796,2016/4/23,374,386,,4,23,2016,,,
2347167796,2016/4/24,442,459,,4,24,2016,,,
2347167796,2016/4/25,433,471,,4,25,2016,,,
2347167796,2016/4/26,436,490,,4,26,2016,,,
2347167796,2016/4/27,448,499,,4,27,2016,,,
2347167796,2016/4/28,408,450,,4,28,2016,,,
2347167796,2016/4/29,411,473,,4,29,2016,,,
3977333714,2016/4/12,274,469,,4,12,2016,,,
3977333714,2016/4/13,295,456,,4,13,2016,,,
3977333714,2016/4/14,291,397,,4,14,2016,,,
3977333714,2016/4/15,424,556,,4,15,2016,,,
3977333714,2016/4/16,283,510,,4,16,2016,,,
3977333714,2016/4/17,381,566,,4,17,2016,,,
3977333714,2016/4/18,412,522,,4,18,2016,,,
3977333714,2016/4/19,219,395,,4,19,2016,,,
3977333714,2016/4/20,152,305,,4,20,2016,,,
3977333714,2016/4/21,332,512,,4,21,2016,,,
3977333714,2016/4/22,355,476,,4,22,2016,,,
3977333714,2016/4/23,235,372,,4,23,2016,,,
3977333714,2016/4/24,310,526,,4,24,2016,,,
3977333714,2016/4/25,262,467,,4,25,2016,,,
3977333714,2016/4/26,250,371,,4,26,2016,,,
3977333714,2016/4/27,349,540,,4,27,2016,,,
3977333714,2016/4/28,261,423,,4,28,2016,,,
3977333714,2016/4/29,333,478,,4,29,2016,,,
